iter	MAE	RMSE
140	14389.88471	20579.50899
141	14354.81683	20530.61993
142	14331.82796	20487.32726
143	14308.04307	20442.9579
144	14265.19886	20381.94645
145	14230.11999	20324.79831
146	14198.70547	20283.30742
147	14160.81045	20222.79968
148	14148.25839	20184.03812
149	14114.70218	20124.42859
150	14087.2955	20076.3304
151	14057.04014	20026.63033
152	14033.94337	19977.37302
153	14016.1948	19943.05457
154	13975.06947	19895.06464
155	13951.90879	19851.49764
156	13928.64744	19810.44303
157	13910.83199	19780.45846
158	13887.27789	19730.2467
159	13864.32711	19682.27675
160	13846.31997	19640.9209
161	13827.90699	19601.97309
162	13792.97012	19560.21456
163	13772.158	19513.41804
164	13749.46353	19469.29323
165	13728.10211	19429.60784
166	13705.51964	19392.32959
167	13691.34755	19359.51321
168	13655.80348	19306.75052
169	13630.10588	19263.07419
170	13613.7785	19229.81395
171	13600.77531	19200.75464
172	13570.72434	19158.31211
173	13545.76043	19120.33268
174	13528.47685	19087.463
175	13507.75427	19052.10393
176	13493.46249	19017.4511
177	13469.0899	18984.69819
178	13443.5161	18935.07363
179	13426.30812	18904.10272
180	13416.95562	18882.7678
181	13398.09178	18846.75106
182	13377.24111	18818.4934
183	13353.96081	18785.63429
184	13336.87391	18752.21658
185	13318.53429	18711.12886
186	13287.66923	18662.67417
187	13261.64926	18626.54772
188	13250.16494	18598.82828
189	13232.79535	18575.63632
190	13214.80018	18549.17422
191	13191.46189	18515.1475
192	13168.34543	18488.99983
193	13155.97389	18465.42969
194	13141.0221	18441.15793
195	13118.38325	18408.65986
196	13102.57758	18367.97791
197	13081.19666	18339.08428
198	13065.72697	18308.23819
199	13041.37007	18269.25119
200	13020.57771	18239.44646
201	13001.30501	18209.28484
202	12987.74466	18186.67873
203	12967.03971	18156.61376
204	12953.11433	18128.5323
205	12937.90765	18103.32196
206	12925.05983	18080.61881
207	12905.47266	18048.87529
208	12889.15611	18017.5292
209	12874.22857	17986.7613
210	12857.94821	17964.10942
211	12847.11375	17943.87865
212	12830.44098	17912.29388
213	12808.73854	17872.2559
214	12790.92795	17841.6824
215	12774.95277	17809.2599
216	12751.10798	17776.83319
217	12739.21062	17753.13757
218	12730.52801	17737.7971
219	12716.25808	17708.55446
220	12702.12509	17683.25599
221	12677.16698	17644.8601
222	12655.96813	17619.4826
223	12636.46887	17592.66711
224	12631.20289	17576.97335
225	12625.38267	17561.38704
226	12612.57272	17528.70194
227	12598.73131	17497.02397
